"icao","call_sign","time","lat","lon","baro_alt","geo_alt","velocity","heading","vertical_rate","diff_time","Time"
"4aaa15","SEJPU",1623061210,59.3501462774762,18.0600080818966,1021.08,1135.38,50.9533344524592,181.735704588928,0,10,0.195945945945946
"4aaa15","SEJPU",1623061220,59.3459014892578,18.0594177246094,1005.84,1127.76,45.5072172626409,185.839492311517,-0.32512,10,0.199324324324324
"4aaa15","SEJPU",1623061230,59.3420927403337,18.0590609846444,1028.7,1143,39.1281926435628,182.260501911141,2.60096,10,0.202702702702703
"4aaa15","SEJPU",1623061240,59.3388519287109,18.0591430664062,1036.32,1150.62,34.0505971789749,175.667686016812,0.65024,10,0.206081081081081
"4aaa15","SEJPU",1623061250,59.3359478449417,18.0595345332705,1043.94,1158.24,31.587029170891,173.453709216706,0.32512,10,0.209459459459459
"4aaa15","SEJPU",1623061260,59.3332012629105,18.0601027916218,1043.94,1158.24,29.3954219927022,175.985824304589,0.32512,10,0.212837837837838
"4aaa15","SEJPU",1623061270,59.3308410644531,18.0603332519531,1043.94,1158.24,24.2007493329849,177.56335175319,0,10,0.216216216216216
"4aaa15","SEJPU",1623061280,59.3287788003178,18.0603869207974,1043.94,1158.24,23.14998,180,-0.97536,10,0.219594594594595
"4aaa15","SEJPU",1623061290,59.3267211914062,18.0603332519531,1028.7,1135.38,22.7812160723631,186.483073692897,-0.97536,10,0.222972972972973
"4aaa15","SEJPU",1623061300,59.3248684123411,18.0594398235453,1021.08,1135.38,18.6481515085197,204.443954780417,-1.30048,10,0.226351351351351
"4aaa15","SEJPU",1623061310,59.3235626220703,18.0577697753906,1005.84,1112.52,17.2856246139543,216.528855366985,-1.6256,10,0.22972972972973
"4aaa15","SEJPU",1623061320,59.3225555419922,18.0559387207031,990.6,1097.28,13.8995114759217,231.009005957495,-0.97536,10,0.233108108108108
"4aaa15","SEJPU",1623061330,59.3218231201172,18.0540161132812,982.98,1089.66,13.9943897887918,233.972626614896,0,10,0.236486486486486
"4aaa15","SEJPU",1623061340,59.3210906982422,18.0520935058594,982.98,1089.66,12.559178594361,235.007979801441,-0.65024,10,0.239864864864865
"4aaa15","SEJPU",1623061350,59.3204956054688,18.0501708984375,975.36,1082.04,12.9839795424836,236.30993247402,-0.65024,10,0.243243243243243
"4aaa15","SEJPU",1623061360,59.3199804273702,18.0481693662446,967.74,1074.42,11.8768620152584,265.03025927189,0,10,0.246621621621622
"4aaa15","SEJPU",1623061370,59.3202667236328,18.046142578125,967.74,1074.42,12.1956868430782,297.645975363739,0.65024,10,0.25
"4aaa15","SEJPU",1623061380,59.3209114721266,18.044380977236,967.74,1074.42,11.3294538761125,309.472459848344,0,10,0.253378378378378
"4aaa15","SEJPU",1623061390,59.321563203456,18.0432444605334,975.36,1082.04,9.88214653560571,321.34019174591,-0.32512,10,0.256756756756757
"4aaa15","SEJPU",1623061400,59.3224639892578,18.0421142578125,982.98,1082.04,12.6536493007859,333.434948822922,1.30048,10,0.260135135135135
"4aaa15","SEJPU",1623061410,59.3234718452066,18.0413502660291,990.6,1097.28,12.7266417027915,345.963756532073,0.97536,10,0.263513513513513
"4aaa15","SEJPU",1623061420,59.3245239257812,18.0406494140625,990.6,1097.28,11.081462896166,338.198590513648,-0.32512,10,0.266891891891892
"4aaa15","SEJPU",1623061430,59.3252563476562,18.0401916503906,982.98,1089.66,10.3401964280638,354.2894068625,-0.97536,10,0.27027027027027
"4aaa15","SEJPU",1623061440,59.3263549804688,18.0401916503906,967.74,1074.42,10.28888,0,-0.97536,10,0.273648648648649
"4aaa15","SEJPU",1623061450,59.3273822331833,18.0404031687769,960.12,1066.8,12.5275300469665,19.1790080258107,-0.65024,10,0.277027027027027
